date,week_day,working,out_of_home,energy,side_projects_time,read_book_time,read_crossword_time,sleep_night_time,sleep_day_time,phone_time,tv_time,exercise_volleyball_time,exercise_gym_time,exercise_home_time,exercise_swim_time,exercise_run_time,exercise_dance_time,exercise_shoulder_raises_series,exercise_shoulder_raises_avg_reps_per_serie,exercise_shoulder_raises_avg_weight_per_serie,macros_protein,macros_carbs,macros_fat,macros_alcohol,macros_kcal,published_medium,published_linkedin
2024-10-01,1,True,False,high,15,0,20,420,0,212,0,90,60,0,0,0,0,0,0,0,106,190,71,0,1826,0,0
2024-10-02,2,True,False,low,60,0,15,360,0,319,0,0,0,20,0,0,0,0,0,0,113,372,138,0,3180,0,0
2024-10-03,3,True,False,high,60,0,15,450,0,191,0,0,90,0,0,0,0,0,0,0,120,310,118,0,2783,0,0
2024-10-04,4,True,False,low,30,0,25,300,180,270,0,0,0,0,60,0,0,0,0,0,87,281,75,0,2146,0,0
2024-10-05,5,False,True,high,120,0,10,360,0,64,0,0,0,0,0,0,0,0,0,0,72,280,95,14,2362,0,0
2024-10-06,6,False,True,neutral,120,0,15,600,0,149,0,0,0,0,180,0,0,0,0,0,76,275,91,0,2222,0,0
2024-10-07,0,True,True,high,180,0,20,390,120,197,0,0,0,0,0,0,0,0,0,0,97,300,82,0,2325,0,0
2024-10-08,1,True,False,low,0,0,5,330,0,295,0,90,90,0,0,0,0,0,0,0,119,171,71,0,1796,0,0
2024-10-09,2,True,False,low,0,0,15,390,0,368,0,0,0,0,0,5,0,0,0,0,96,192,170,25,2860,0,0
2024-10-10,3,True,False,low,120,0,30,450,180,266,0,0,0,0,0,0,0,0,0,0,131,277,128,0,2789,0,0
2024-10-11,4,True,False,high,30,0,15,330,90,237,0,0,90,0,60,0,0,0,0,0,134,353,65,0,2537,1,0
2024-10-12,5,False,False,high,300,0,20,540,180,54,0,0,0,0,0,20,0,0,0,0,105,371,114,31,3148,0,0
2024-10-13,6,False,False,high,150,0,10,450,0,156,0,0,0,0,0,0,0,0,0,0,86,317,94,0,2458,0,0
2024-10-14,0,True,False,low,0,0,10,360,0,251,0,0,60,0,0,0,0,0,0,0,164,246,124,0,2756,0,0
2024-10-15,1,True,False,high,0,0,5,390,0,205,0,0,0,0,0,0,0,0,0,0,96,256,91,0,2224,0,0
2024-10-16,2,True,False,netral,15,0,0,540,0,197,0,0,0,0,60,0,0,0,0,0,131,328,118,0,2898,0,0
2024-10-17,3,True,False,high,180,0,15,420,0,228,0,0,0,0,0,0,0,0,0,0,102,294,116,0,2629,0,0
2024-10-18,4,True,False,low,0,0,20,420,120,205,0,0,60,0,60,0,0,0,0,0,116,159,115,0,2131,0,0
2024-10-19,5,False,True,neutral,0,0,0,450,0,73,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0
2024-10-20,6,False,False,low,0,0,0,660,120,64,0,0,0,0,0,0,0,0,0,0,37,177,70,0,1487,0,0
2024-10-21,0,True,False,low,0,0,15,300,180,266,0,0,0,0,0,0,0,0,0,0,97,173,141,0,2348,1,0
2024-10-22,1,True,False,high,0,0,15,330,0,237,0,90,60,0,0,0,0,0,0,0,87,273,153,0,2821,0,0
2024-10-23,2,True,False,high,60,0,15,420,0,211,0,0,0,10,0,0,0,0,0,0,115,355,166,38,3640,0,0
2024-10-24,3,True,False,high,60,0,0,420,60,139,0,0,0,0,0,0,90,0,0,0,161,262,86,0,2464,0,0
2024-10-25,4,True,False,neutral,150,0,0,390,0,212,0,0,0,0,60,0,0,0,0,0,157,407,147,0,3578,0,0
2024-10-26,5,False,False,neutral,180,0,15,420,240,45,0,0,0,0,0,0,0,0,0,0,115,276,82,0,2306,0,0
2024-10-27,6,False,False,high,120,0,20,480,0,94,0,0,60,0,0,0,0,0,0,0,109,282,134,35,3016,0,0
2024-10-28,0,True,False,high,5,0,15,480,120,186,0,0,0,0,0,0,0,0,0,0,140,397,121,0,3233,0,0
2024-10-29,1,False,True,low,0,0,0,210,240,211,0,0,0,0,0,0,0,0,0,0,91,273,104,0,2395,0,0
2024-10-30,2,False,True,low,0,0,0,600,120,177,0,0,0,0,0,20,0,0,0,0,137,274,93,0,2480,0,0
2024-10-31,3,True,True,neutral,30,0,20,360,0,242,0,0,0,0,0,0,0,0,0,0,101,259,101,0,2351,0,0
2024-11-01,4,False,True,high,30,0,25,480,0,81,0,0,0,0,0,60,0,0,0,0,145,291,158,30,3373,0,0
2024-11-02,5,False,True,high,180,50,0,480,0,143,0,0,0,0,0,60,0,0,0,0,118,318,110,0,2735,0,0
2024-11-03,6,False,False,high,120,0,0,420,0,147,0,0,0,0,0,0,0,0,0,0,125,357,154,0,3311,0,0
2024-11-04,0,True,False,low,30,10,20,360,180,268,0,0,0,15,0,0,0,4,10,5,128,271,159,0,3031,0,0
2024-11-05,1,True,False,low,105,25,10,300,120,235,0,0,0,0,0,0,0,2,12,5,107,276,152,0,2906,0,0
2024-11-06,2,True,False,neutral,150,0,0,420,0,325,0,0,60,0,0,0,0,4,11,6,114,351,119,0,2936,0,0
2024-11-07,3,True,False,high,240,0,0,360,0,144,0,0,0,0,0,0,90,1,20,5,95,323,160,21,3258,0,0
2024-11-08,4,True,False,high,180,10,0,300,0,188,0,0,30,0,60,0,0,2,12,5,95,339,134,0,2950,0,0
2024-11-09,5,False,True,neutral,240,0,0,390,180,164,0,0,0,0,0,0,0,0,0,0,61,239,110,0,2193,1,0
2024-11-10,6,False,True,high,0,0,0,360,180,83,0,0,0,0,0,60,0,0,0,0,89,402,89,0,2760,0,0
2024-11-11,0,False,True,neutral,120,10,0,480,30,178,0,0,0,10,0,0,0,3,20,5,102,374,118,0,2965,0,0
2024-11-12,1,True,False,high,90,25,0,480,0,262,0,0,0,15,0,0,0,1,20,5,125,248,162,0,2946,0,0
2024-11-13,2,True,False,neutral,0,10,0,480,0,182,0,0,60,0,0,0,0,4,11,6,116,288,130,0,2783,0,0
2024-11-14,3,True,False,low,0,0,0,450,0,214,0,0,0,0,0,0,90,0,0,0,133,252,162,0,3002,0,0
2024-11-15,4,True,False,low,90,0,0,420,0,294,0,0,60,0,60,0,0,2,20,5,99,263,146,0,2765,0,0
2024-11-16,5,False,True,neutral,0,0,0,390,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-17,6,False,True,neutral,0,10,0,720,0,32,90,0,0,0,0,0,0,0,0,0,105,276,172,47,3402,0,0
2024-11-18,0,True,False,high,0,0,0,450,0,250,90,0,60,0,0,0,0,3,15,7,106,348,121,0,2907,0,0
2024-11-19,1,True,False,high,30,10,0,450,0,193,0,90,0,0,0,0,0,1,20,5,86,352,129,14,3015,0,0
2024-11-20,2,True,False,low,15,10,0,240,180,176,90,0,60,0,0,0,0,1,12,6,147,283,159,0,3147,0,0
2024-11-21,3,True,False,high,120,10,10,420,0,188,90,0,0,0,0,0,90,1,20,5,119,326,127,0,2921,0,0
2024-11-22,4,True,False,high,150,5,0,420,60,153,90,0,60,0,60,0,0,4,10,7,124,290,145,0,2958,0,0
2024-11-23,5,False,False,neutral,0,15,0,540,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
