date,sleep,nap,side_projects_time,read_time,phone_time,exercise_time,shoulder_raises,pushups,abs,alcohol,kcal,creatine,tongkat ali,linkedin_post,linkedin_comment,medium
2024-10-01,420,False,15,20,212,150,False,False,False,False,1826,False,False,0,0,0
2024-10-02,360,False,60,15,319,20,False,False,False,False,3180,False,False,0,0,0
2024-10-03,450,False,60,15,191,90,False,False,False,False,2783,False,False,0,0,0
2024-10-04,300,True,30,25,270,60,False,False,False,False,2146,False,False,0,0,0
2024-10-05,360,False,120,10,64,0,False,False,False,True,2362,False,False,0,0,0
2024-10-06,600,False,120,15,149,180,False,False,False,False,2222,False,False,0,0,0
2024-10-07,390,True,180,20,197,0,False,False,False,False,2325,False,False,0,0,0
2024-10-08,330,False,0,5,295,180,False,False,False,False,1796,False,False,0,0,0
2024-10-09,390,False,0,15,368,5,False,False,False,True,2860,False,False,0,0,0
2024-10-10,450,True,120,30,266,0,False,False,False,False,2789,False,False,0,0,0
2024-10-11,330,True,30,15,237,150,False,False,False,False,2537,False,False,0,0,1
2024-10-12,540,True,300,20,54,20,False,False,False,True,3148,False,False,0,0,0
2024-10-13,450,False,150,10,156,0,False,False,False,False,2458,False,False,0,0,0
2024-10-14,360,False,0,10,251,60,False,False,False,False,2756,False,False,0,0,0
2024-10-15,390,False,0,5,205,0,False,False,False,False,2224,False,False,0,0,0
2024-10-16,540,False,15,0,197,60,False,False,False,False,2898,False,False,0,0,0
2024-10-17,420,False,180,15,228,0,False,False,False,False,2629,False,False,0,0,0
2024-10-18,420,True,0,20,205,120,False,False,False,False,2131,False,False,0,0,0
2024-10-19,450,False,0,0,73,240,False,False,False,False,0,False,False,0,0,0
2024-10-20,660,True,0,0,64,0,False,False,False,False,1487,False,False,0,0,0
2024-10-21,300,True,0,15,266,0,False,False,False,False,2348,False,False,0,0,1
2024-10-22,330,False,0,15,237,150,False,False,False,False,2821,False,False,0,0,0
2024-10-23,420,False,60,15,211,10,False,False,False,True,3640,False,False,0,0,0
2024-10-24,420,True,60,0,139,90,False,False,False,False,2464,False,False,0,0,0
2024-10-25,390,False,150,0,212,60,False,False,False,False,3578,False,False,0,0,0
2024-10-26,420,True,180,15,45,0,False,False,False,False,2306,False,False,0,0,0
2024-10-27,480,False,120,20,94,60,False,False,False,True,3016,False,False,0,0,0
2024-10-28,480,True,5,15,186,0,False,False,False,False,3233,False,False,0,0,0
2024-10-29,210,True,0,0,211,0,False,False,False,False,2395,False,False,0,0,0
2024-10-30,600,True,0,0,177,20,False,False,False,False,2480,False,False,0,0,0
2024-10-31,360,False,30,20,242,0,False,False,False,False,2351,False,False,0,0,0
2024-11-01,480,False,30,25,81,60,False,False,False,True,3373,False,False,0,0,0
2024-11-02,480,False,180,50,143,60,False,False,False,False,2735,False,False,0,0,0
2024-11-03,420,False,120,0,147,0,False,False,False,False,3311,False,False,0,0,0
2024-11-04,360,True,30,30,268,15,True,False,False,False,3031,False,False,0,0,0
2024-11-05,300,True,105,35,235,0,True,False,False,False,2906,False,False,0,0,0
2024-11-06,420,False,150,0,325,60,True,False,False,False,2936,False,False,0,0,0
2024-11-07,360,False,240,0,144,90,True,False,False,True,3258,False,False,0,0,0
2024-11-08,300,False,180,10,188,90,True,False,False,False,2950,False,False,0,0,0
2024-11-09,390,True,240,0,164,0,False,False,False,False,2193,False,False,0,0,1
2024-11-10,360,True,0,0,83,60,False,False,False,False,2760,False,False,0,0,0
2024-11-11,480,True,120,10,178,10,True,False,False,False,2965,False,False,0,0,0
2024-11-12,480,False,90,25,262,15,True,False,False,False,2946,False,False,0,0,0
2024-11-13,480,False,0,10,182,60,True,False,False,False,2783,False,False,0,0,0
2024-11-14,450,False,0,0,214,90,False,False,False,False,3002,False,False,0,0,0
2024-11-15,420,False,90,0,294,120,True,False,False,False,2765,False,False,0,0,0
2024-11-16,390,False,0,0,52,0,False,False,False,False,0,False,False,0,0,0
2024-11-17,720,False,0,10,32,0,False,False,False,True,3402,False,False,0,0,0
2024-11-18,450,False,0,0,250,60,True,False,False,False,2907,False,False,0,0,0
2024-11-19,450,False,30,10,193,90,True,False,False,True,3015,False,False,0,0,0
2024-11-20,240,True,15,10,176,60,True,False,False,False,3147,False,False,0,0,0
2024-11-21,420,False,120,20,188,90,True,False,False,False,2921,False,False,0,0,0
2024-11-22,420,True,150,5,153,120,True,False,False,False,2958,False,False,0,0,0
2024-11-23,540,False,0,15,59,0,False,False,False,False,0,False,False,0,0,0
2024-11-24,480,False,0,5,88,0,True,False,False,False,0,False,False,0,0,0
2024-11-25,300,True,30,20,241,0,True,False,False,False,2627,False,False,0,0,0
2024-11-26,330,False,120,10,171,90,True,False,False,False,3350,False,False,0,0,0
2024-11-27,420,True,15,20,158,10,True,False,False,False,3191,False,False,0,0,0
2024-11-28,360,False,270,10,225,10,True,False,False,False,3085,False,False,1,0,0
2024-11-29,330,True,15,10,117,60,True,False,False,False,3651,False,False,0,0,0
2024-11-30,360,False,0,5,64,0,True,False,False,False,0,False,False,0,0,0
2024-12-01,480,False,150,5,132,0,True,False,False,False,2242,False,False,0,0,0
2024-12-02,330,True,0,0,179,60,True,False,False,False,2921,False,False,1,0,0
2024-12-03,390,True,90,25,157,90,True,False,False,False,2904,False,False,0,0,0
2024-12-04,390,False,150,15,270,60,True,False,False,False,2944,False,False,1,0,0
2024-12-05,390,True,30,5,190,0,True,False,False,False,2918,False,False,0,0,0
2024-12-06,270,False,0,5,150,120,True,False,False,False,2998,False,False,1,0,0
2024-12-07,600,False,0,5,60,0,True,False,False,True,2310,False,False,0,0,0
2024-12-08,660,False,15,15,113,0,True,False,False,False,2456,False,False,0,0,0
2024-12-09,300,False,150,0,251,60,True,False,False,False,2975,False,False,1,0,1
2024-12-10,360,False,120,10,200,90,True,False,False,False,3144,False,False,0,0,0
2024-12-11,420,False,180,10,186,60,True,False,False,False,2932,False,False,1,0,0
2024-12-12,360,True,120,15,173,0,True,False,False,False,2913,False,False,0,0,0
2024-12-13,330,False,90,0,181,60,True,False,False,False,2530,False,False,1,0,0
2024-12-14,180,True,0,5,129,0,False,False,False,True,2377,False,False,0,0,0
2024-12-15,420,True,0,30,113,0,True,False,False,False,2640,False,False,0,0,0
2024-12-16,390,True,30,10,276,0,True,False,False,False,3043,False,False,0,0,0
